"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 27-Mar-2026","1W AGO 
 20-Mar-2026","1M AGO 
 24-Feb-2026","1Y AGO 
 26-Mar-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","20,534.25","1.23","20,750.20","20,854.95","20,437.65","-","20,283.75","20,705.75","20,973.15","22,823.75","20,799.70","-","-",-9.72,-0.08
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","18,775.75","1.25","19,000.70","19,054.65","18,697.25","-","18,543.90","18,881.70","19,140.00","20,678.90","19,104.70","-","-",-9.24,-0.64
"NIFTY HIGH BETA 50","3,456.75","4.19","3,435.00","3,492.25","3,415.45","-","3,317.65","3,432.90","3,521.45","3,815.10","3,287.50","-","-",-8.59,4.01
"NIFTY LOW VOLATILITY 50","22,793.90","0.94","23,075.90","23,127.95","22,707.55","-","22,582.00","23,044.10","23,222.35","25,353.65","23,464.85","-","-",-9.38,-2.13
"NIFTY QUALITY LOW-VOLATILITY 30","15,251.60","1.08","15,437.90","15,475.80","15,184.65","-","15,088.65","15,384.15","15,608.60","16,949.65","16,191.35","-","-",-9.54,-4.83
"NIFTY SMALLCAP250 QUALITY 50","22,445.10","3.55","22,214.80","22,514.70","22,141.90","-","21,675.80","22,181.45","22,510.20","24,314.45","24,140.30","-","-",-6.99,-6.38
"NIFTY TOP 15 EQUAL WEIGHT","9,289.60","1.76","9,393.75","9,398.00","9,263.15","-","9,129.20","9,357.80","9,431.10","10,631.75","9,736.20","-","-",-11.59,-3.2
"NIFTY100 ALPHA 30","16,194.30","2.72","16,242.65","16,383.90","16,144.35","-","15,765.85","16,124.85","16,386.95","18,249.10","16,727.80","-","-",-10.8,-1.22
"NIFTY200 VALUE 30","14,316.65","1.96","14,479.65","14,480.95","14,264.85","-","14,041.30","14,289.35","14,614.30","16,015.05","12,288.85","-","-",-11.17,15.79
"NIFTY500 EQUAL WEIGHT","12,601.45","3.07","12,562.05","12,688.95","12,493.90","-","12,226.10","12,558.50","12,774.50","13,785.30","12,641.55","-","-",-8.46,-0.15
"NIFTY500 MULTICAP MOMENTUM QUALITY 50","37,625.10","3.35","37,487.15","37,950.70","37,413.35","-","36,407.10","37,287.10","37,723.20","40,673.65","38,181.45","-","-",-7.04,-0.1
"NIFTY500 VALUE 50","15,219.95","1.89","15,371.75","15,373.20","15,170.95","-","14,937.70","15,117.10","15,395.65","16,718.45","13,252.35","-","-",-9.7,14.41
"NIFTY TOP 20 EQUAL WEIGHT","8,283.60","1.51","8,380.65","8,391.80","8,256.45","-","8,160.70","8,345.05","8,408.00","9,331.80","8,737.50","-","-",-10.58,-3.32
"NIFTY500 QUALITY 50","17,350.05","3.84","17,210.60","17,479.80","17,139.85","-","16,709.15","17,076.20","17,402.95","18,292.90","17,429.85","-","-",-4.86,0.73
"NIFTY500 LOW VOLATILITY 50","20,744.80","0.80","21,086.30","21,121.25","20,657.80","-","20,579.90","20,965.85","21,162.25","22,952.35","19,978.65","-","-",-9.26,4.38
"NIFTY500 MULTIFACTOR MQVLV 50","29,018.10","1.96","29,216.95","29,370.10","28,909.35","-","28,459.05","29,044.70","29,465.30","32,291.35","28,370.50","-","-",-10.2,2.62
"NIFTY50 USD","8,429.20","3.32","8,158.10","8,557.05","8,158.05","-","8,158.08","8,340.59","8,545.75","9,685.84","9,494.48","-","-",-12.1,-10.24
"NIFTY500 FLEXICAP QUALITY 30","9,113.15","2.12","9,183.00","9,239.65","9,067.50","-","8,924.15","9,081.15","9,118.80","9,812.40","-","-","-",-7.08,0
"NIFTY TOTAL MARKET MOMENTUM QUALITY 50","38,979.75","3.15","38,967.80","39,356.95","38,794.45","-","37,787.95","38,685.00","39,111.75","42,098.75","-","-","-",-7.5,0
"NIFTY COMMODITIES","9,256.75","1.41","9,357.75","9,359.90","9,219.05","-","9,127.75","9,223.85","9,390.50","9,960.35","8,408.95","10,078.60","7,601.40",-7.02,10.09
"NIFTY INDIA CONSUMPTION","10,545.05","2.04","10,598.90","10,646.05","10,495.05","-","10,334.35","10,559.05","10,671.65","11,664.05","10,710.75","12,716.20","10,159.85",-8.6,-1.1
"NIFTY CPSE","6,963.90","0.91","7,098.80","7,101.35","6,921.50","-","6,900.85","6,929.15","7,026.75","7,073.85","6,087.10","7,252.05","5,521.95",-1.73,14.42
"NIFTY ENERGY","35,402.85","1.59","35,868.50","35,868.50","35,224.75","-","34,849.70","35,214.80","35,908.30","37,028.10","33,205.40","37,306.50","29,802.20",-4.43,6.35
"NIFTY INFRASTRUCTURE","8,669.10","1.26","8,791.90","8,792.40","8,637.45","-","8,560.95","8,720.40","8,800.15","9,644.55","8,428.55","9,792.60","7,775.80",-9.06,3.33
"NIFTY100 LIQUID 15","6,753.50","2.53","6,785.70","6,827.05","6,731.70","-","6,586.95","6,762.20","6,905.70","7,630.25","6,533.40","7,774.60","6,045.55",-10.08,4.33
"NIFTY MIDCAP LIQUID 15","14,170.65","3.24","14,134.65","14,357.15","14,113.35","-","13,726.45","14,156.00","14,316.40","15,049.00","12,989.30","16,755.80","11,541.70",-5.9,9.97
"NIFTY MNC","28,270.65","1.73","28,485.70","28,617.25","28,076.80","-","27,791.25","28,335.60","28,875.00","31,638.75","26,323.85","32,131.15","23,981.05",-10.83,9
"NIFTY PSE","9,699.80","1.47","9,856.50","9,856.55","9,649.50","-","9,559.00","9,676.40","9,882.00","10,439.15","9,239.00","10,544.05","8,457.60",-7.23,4.25
"NIFTY SERVICES SECTOR","28,824.40","1.62","29,038.05","29,150.25","28,771.50","-","28,363.60","29,158.00","29,475.65","32,669.60","31,046.85","34,549.75","28,282.90",-10.83,-5.74
"NIFTY100 ESG SECTOR LEADERS","3,765.40","1.57","3,801.65","3,808.25","3,753.40","-","3,707.20","3,786.50","3,840.55","4,188.65","3,905.30","-","-",-9.36,-2.24
"NIFTY INDIA DIGITAL","7,431.35","2.24","7,471.90","7,538.35","7,408.55","-","7,268.60","7,449.20","7,472.95","7,887.45","8,315.05","10,152.15","4,755.25",-5.44,-8.86
"NIFTY100 ESG","4,525.25","1.81","4,563.75","4,576.80","4,509.50","-","4,444.80","4,553.25","4,614.45","5,064.70","4,576.55","-","-",-10.1,0.12
"NIFTY INDIA MANUFACTURING","14,255.90","1.59","14,421.95","14,505.25","14,202.70","-","14,032.55","14,293.10","14,572.40","15,649.55","13,200.70","-","-",-9.61,9.93
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","13,528.45","2.06","13,682.20","13,744.85","13,478.40","-","13,255.55","13,555.70","13,857.75","14,928.25","15,074.65","18,764.95","9,887.45",-9.95,-8.93
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","14,605.35","1.71","14,745.00","14,835.65","14,546.45","-","14,359.10","14,614.10","14,849.00","15,797.55","13,919.30","16,323.15","8,394.35",-8.1,6.78
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","12,927.90","1.83","13,040.75","13,074.30","12,879.50","-","12,696.10","12,976.85","13,151.60","14,308.85","12,879.95","15,154.10","8,010.10",-8.82,0.37
"NIFTY INDIA DEFENCE","7,597.90","5.32","7,445.15","7,712.75","7,394.80","-","7,214.30","7,422.30","7,735.50","8,019.55","6,376.65","9,195.15","3,374.95",-6.51,19.92
"NIFTY INDIA TOURISM","6,796.60","4.28","6,728.00","6,865.90","6,702.95","-","6,517.65","6,768.85","6,919.05","7,928.75","8,546.90","9,497.20","6,058.05",-12.81,-21.01
"NIFTY CAPITAL MARKETS","4,448.40","4.62","4,393.05","4,484.50","4,386.95","-","4,251.80","4,380.40","4,436.85","4,664.85","3,261.90","4,964.25","2,009.60",-3.37,31.8
"NIFTY EV & NEW AGE AUTOMOTIVE","2,705.90","2.83","2,709.45","2,734.60","2,692.65","-","2,631.45","2,702.85","2,760.75","3,050.25","2,721.20","-","-",-12.34,1.99
"NIFTY INDIA NEW AGE CONSUMPTION","9,966.45","2.71","9,986.55","10,068.00","9,916.05","-","9,703.55","9,964.65","10,163.90","11,229.10","10,521.60","-","-",-10.48,-4.14
"NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR)","34,188.90","2.43","34,366.75","34,473.55","34,048.25","-","33,378.90","34,038.05","34,698.85","37,471.85","33,469.40","-","-",-7.82,3.12
"NIFTY MOBILITY","19,841.05","2.33","19,996.10","20,115.95","19,789.50","-","19,388.85","19,894.50","20,254.05","22,879.15","18,490.20","-","-",-13.25,8.64
"NIFTY100 ENHANCED ESG","4,557.90","1.80","4,597.20","4,609.80","4,542.00","-","4,477.10","4,586.80","4,647.35","5,102.35","4,611.00","-","-",-10.1,0.09
"NIFTY CORE HOUSING","13,203.60","1.67","13,293.50","13,350.60","13,127.35","-","12,986.10","13,342.65","13,482.35","15,237.10","14,854.75","17,961.70","12,839.05",-12.47,-10.34
"NIFTY HOUSING","10,674.75","1.65","10,780.10","10,798.05","10,635.70","-","10,501.60","10,746.50","10,902.60","12,094.55","10,808.40","12,386.30","9,839.70",-11.23,-0.53
"NIFTY IPO","1,823.60","2.30","1,832.15","1,836.25","1,817.30","-","1,782.65","1,849.20","1,875.40","1,935.50","1,805.50","2,387.55","1,617.15",-6.38,0.29
"NIFTY MIDSMALL INDIA CONSUMPTION","16,089.70","1.52","16,231.50","16,295.00","16,004.10","-","15,848.50","16,240.45","16,494.60","18,085.30","18,352.80","20,923.30","14,493.40",-10.83,-11.26
"NIFTY NON-CYCLICAL CONSUMER","13,639.55","2.25","13,650.30","13,751.65","13,570.40","-","13,339.65","13,633.30","13,798.55","15,137.50","14,844.75","18,289.65","13,081.55",-8.44,-8.21
"NIFTY RURAL","14,122.75","1.47","14,291.00","14,321.05","14,069.50","-","13,918.35","14,340.50","14,562.15","16,220.80","13,890.50","16,396.40","12,304.35",-11.84,2.36
"NIFTY SHARIAH 25","7,341.65","1.18","7,432.45","7,451.70","7,306.55","-","7,255.85","7,380.35","7,357.55","7,895.65","7,851.10","9,449.55","7,121.55",-7.27,-5.58
"NIFTY TRANSPORTATION & LOGISTICS","22,061.45","2.52","22,204.40","22,365.20","21,996.90","-","21,520.00","22,121.00","22,444.65","25,249.25","20,513.30","26,459.70","16,828.35",-12.45,9.5
"NIFTY50 SHARIAH","4,162.55","1.06","4,219.10","4,236.65","4,142.60","-","4,118.80","4,175.85","4,158.15","4,416.20","4,647.75","5,677.90","4,082.25",-6.25,-9.63
"NIFTY500 SHARIAH","6,319.00","1.67","6,376.80","6,409.30","6,288.90","-","6,215.15","6,326.55","6,360.60","6,811.00","6,683.35","8,238.85","6,004.55",-7.69,-4.68
"NIFTY SME EMERGE","11,665.15","5.80","11,196.00","11,680.40","11,196.00","-","11,025.80","11,422.75","11,965.20","12,794.45","12,731.58","17,223.65","11,015.55",-8.16,-9.67
"NIFTY INDIA INTERNET","1,108.65","3.05","1,106.75","1,119.65","1,101.90","-","1,075.85","1,108.55","1,124.50","1,208.20","-","1,501.90","1,056.45",-6.24,0
"NIFTY WAVES","1,681.25","6.23","1,627.35","1,685.95","1,619.05","-","1,582.65","1,651.55","1,711.95","1,928.25","-","2,789.80","1,581.05",-11.64,0
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","10,447.15","2.50","10,484.55","10,563.30","10,401.65","-","10,191.85","10,461.15","10,664.80","11,523.30","-","11,820.05","9,210.40",-8.61,0
"NIFTY INDIA RAILWAYS PSU","2,866.50","4.28","2,846.75","2,896.65","2,817.65","-","2,748.95","2,854.55","2,904.55","3,294.85","3,439.75","4,005.50","2,744.60",-10.52,-16.39
"NIFTY CONGLOMERATE 50","13,089.65","2.36","13,184.65","13,253.60","13,048.15","-","12,787.65","13,094.45","13,251.10","14,725.50","13,368.84","15,284.30","12,226.80",-10.58,-0.8
"NIFTY 8-13 YR G-SEC","2,942.32","0.01","2,942.29","2,942.32","2,942.29","-","2,941.20","2,953.56","2,987.35","2,989.05","2,840.02","-","-",-1.66,3.34
"NIFTY 10 YR BENCHMARK G-SEC","2,582.95","0.01","2,582.92","2,582.95","2,582.92","-","2,581.96","2,594.86","2,623.13","2,626.00","2,511.58","-","-",-1.74,2.59
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","866.51","-","866.51","866.51","866.51","-","866.50","871.46","882.39","887.59","899.85","-","-",-2.43,-3.86
"NIFTY 4-8 YR G-SEC INDEX","3,209.46","0.01","3,209.44","3,209.46","3,209.44","-","3,208.26","3,222.31","3,251.55","3,258.71","3,062.24","-","-",-1.64,4.55
"NIFTY 11-15 YR G-SEC INDEX","3,192.67","0.01","3,192.68","3,192.68","3,192.67","-","3,191.42","3,219.68","3,259.96","3,270.64","3,149.37","-","-",-2.43,0.96
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,358.41","0.02","3,358.41","3,358.41","3,358.41","-","3,357.00","3,376.28","3,448.47","3,476.35","3,463.94","-","-",-4.18,-3.53
"NIFTY COMPOSITE G-SEC INDEX","3,010.81","0.01","3,010.79","3,010.81","3,010.79","-","3,009.64","3,026.15","3,061.75","3,068.03","2,938.57","-","-",-2.07,2.12
"NIFTY BHARAT BOND INDEX - APRIL 2030","1,565.09","0.01","1,565.10","1,565.10","1,565.09","-","1,564.17","1,564.38","1,569.92","1,573.59","1,478.32","-","-",-0.63,5.33
"NIFTY BHARAT BOND INDEX - APRIL 2031","1,420.28","0.01","1,420.26","1,420.28","1,420.26","-","1,419.43","1,419.74","1,428.43","1,431.12","1,348.98","-","-",-0.7,4.7
"NIFTY BHARAT BOND INDEX - APRIL 2032","1,289.09","0.01","1,289.08","1,289.09","1,289.08","-","1,288.32","1,290.20","1,298.10","1,302.08","1,231.35","-","-",-0.9,4.08
"NIFTY BHARAT BOND INDEX - APRIL 2033","1,250.03","0.01","1,250.03","1,250.03","1,250.03","-","1,249.29","1,250.95","1,260.25","1,263.26","1,199.02","-","-",-1.05,3.67
