"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"JINDALSTEL","1,131.00","1,146.30","1,093.80","1,137.40","1,141.30","-","3.90","0.34","14,85,498","167.27","1,272.10","770.00","-7.80","26.08"
"ABB","6,021.50","6,158.00","5,916.50","6,063.00","6,138.00","-","75.00","1.24","2,75,527","166.13","6,554.00","4,637.50","2.59","15.22"
"ADANIENSOL","940.00","946.55","903.15","956.60","945.00","-","-11.60","-1.21","17,48,061","160.86","1,067.70","744.90","-2.81","6.86"
"NESTLEIND","1,173.30","1,200.00","1,159.40","1,180.80","1,190.00","-","9.20","0.78","13,57,820","160.82","1,340.40","1,074.00","-7.01","5.98"
"VBL","397.60","405.00","390.60","401.80","404.00","-","2.20","0.55","36,20,669","144.76","568.50","381.00","-9.27","-25.80"
"CGPOWER","670.25","683.25","655.60","680.30","681.90","-","1.60","0.24","20,98,148","140.80","797.55","517.70","-4.21","10.71"
"GRASIM","2,574.90","2,574.90","2,514.20","2,592.80","2,552.90","-","-39.90","-1.54","5,22,088","132.74","2,979.00","2,465.50","-8.08","-3.73"
"UNITDSPR","1,238.10","1,238.10","1,211.00","1,249.30","1,225.50","-","-23.80","-1.91","9,57,515","116.71","1,645.00","1,211.00","-10.32","-14.31"
"PIDILITIND","1,290.00","1,297.70","1,268.70","1,307.00","1,271.00","-","-36.00","-2.75","8,89,612","113.42","1,574.95","1,268.70","-13.27","-11.17"
"ZYDUSLIFE","860.00","866.00","835.50","863.20","864.00","-","0.80","0.09","10,13,019","86.26","1,059.05","795.00","-4.73","-4.20"
"AMBUJACEM","414.50","420.00","406.70","420.35","417.00","-","-3.35","-0.80","20,16,351","83.41","624.95","394.00","-15.03","-22.88"
"SIEMENS","2,970.00","3,045.00","2,906.00","3,017.00","3,045.00","-","28.00","0.93","2,65,901","78.94","5,324.00","2,450.00","-8.88","-41.98"
"ENRIN","2,570.00","2,633.50","2,521.70","2,613.90","2,623.00","-","9.10","0.35","2,55,030","65.93","3,625.00","2,115.00","-11.76","-"
"SHREECEM","22,955.00","23,265.00","22,675.00","23,265.00","23,120.00","-","-145.00","-0.62","20,490","47.07","32,490.00","22,550.00","-11.50","-25.18"
"BAJAJHLDNG","8,780.00","9,020.00","8,588.00","8,907.00","9,020.00","-","113.00","1.27","52,733","46.37","14,763.00","8,588.00","-15.66","-21.56"
"TATACAP","305.00","310.40","300.15","305.90","308.90","-","3.00","0.98","9,06,030","27.75","367.30","300.15","-6.01","-"
